algorithm,env_id,seed,episode,reward
PPO,Pendulum-v1,0,0,-1784.528564453125
PPO,Pendulum-v1,0,1,-1265.112060546875
PPO,Pendulum-v1,0,2,-806.52978515625
PPO,Pendulum-v1,0,3,-907.570556640625
PPO,Pendulum-v1,0,4,-1498.2880859375
PPO,Pendulum-v1,0,5,-1614.7464599609375
PPO,Pendulum-v1,0,6,-1068.8831787109375
PPO,Pendulum-v1,0,7,-1414.3182373046875
PPO,Pendulum-v1,0,8,-1079.795166015625
PPO,Pendulum-v1,0,9,-1683.9652099609375
PPO,Pendulum-v1,0,10,-1177.739990234375
PPO,Pendulum-v1,0,11,-1749.685546875
PPO,Pendulum-v1,0,12,-961.015380859375
PPO,Pendulum-v1,0,13,-1192.2945556640625
PPO,Pendulum-v1,0,14,-1417.7093505859375
PPO,Pendulum-v1,0,15,-772.9302368164062
PPO,Pendulum-v1,0,16,-952.9107055664062
PPO,Pendulum-v1,0,17,-1684.635009765625
PPO,Pendulum-v1,0,18,-1091.26171875
PPO,Pendulum-v1,0,19,-1159.4005126953125
PPO,Pendulum-v1,0,20,-1310.4188232421875
PPO,Pendulum-v1,0,21,-1736.890625
PPO,Pendulum-v1,0,22,-1386.5892333984375
PPO,Pendulum-v1,0,23,-1321.907470703125
PPO,Pendulum-v1,0,24,-1204.61474609375
PPO,Pendulum-v1,0,25,-916.26513671875
PPO,Pendulum-v1,0,26,-1274.7803955078125
PPO,Pendulum-v1,0,27,-982.5894775390625
PPO,Pendulum-v1,0,28,-1628.2052001953125
PPO,Pendulum-v1,0,29,-845.9386596679688
PPO,Pendulum-v1,0,30,-994.6156616210938
PPO,Pendulum-v1,0,31,-1177.56201171875
PPO,Pendulum-v1,0,32,-965.4921264648438
PPO,Pendulum-v1,0,33,-877.0640869140625
PPO,Pendulum-v1,0,34,-1036.7735595703125
PPO,Pendulum-v1,0,35,-1606.66162109375
PPO,Pendulum-v1,0,36,-1069.199951171875
PPO,Pendulum-v1,0,37,-1000.3653564453125
PPO,Pendulum-v1,0,38,-865.6181030273438
PPO,Pendulum-v1,0,39,-1158.70751953125
PPO,Pendulum-v1,0,40,-1565.0419921875
PPO,Pendulum-v1,0,41,-1540.2943115234375
PPO,Pendulum-v1,0,42,-1808.1397705078125
PPO,Pendulum-v1,0,43,-1549.192138671875
PPO,Pendulum-v1,0,44,-1498.3323974609375
PPO,Pendulum-v1,0,45,-1015.642578125
PPO,Pendulum-v1,0,46,-1424.4830322265625
PPO,Pendulum-v1,0,47,-1166.9515380859375
PPO,Pendulum-v1,0,48,-890.2373657226562
PPO,Pendulum-v1,0,49,-1750.736572265625
PPO,Pendulum-v1,0,50,-1042.4368896484375
PPO,Pendulum-v1,0,51,-1269.704833984375
PPO,Pendulum-v1,0,52,-1180.2906494140625
PPO,Pendulum-v1,0,53,-1399.087646484375
PPO,Pendulum-v1,0,54,-1220.5330810546875
PPO,Pendulum-v1,0,55,-1424.0074462890625
PPO,Pendulum-v1,0,56,-1350.373046875
PPO,Pendulum-v1,0,57,-1393.368408203125
PPO,Pendulum-v1,0,58,-1662.6697998046875
PPO,Pendulum-v1,0,59,-761.2681884765625
PPO,Pendulum-v1,0,60,-1068.0797119140625
PPO,Pendulum-v1,0,61,-1472.351318359375
PPO,Pendulum-v1,0,62,-1079.727294921875
PPO,Pendulum-v1,0,63,-1628.2314453125
PPO,Pendulum-v1,0,64,-1048.2904052734375
PPO,Pendulum-v1,0,65,-1093.388671875
PPO,Pendulum-v1,0,66,-1272.572509765625
PPO,Pendulum-v1,0,67,-1177.6881103515625
PPO,Pendulum-v1,0,68,-967.72607421875
PPO,Pendulum-v1,0,69,-1639.7396240234375
PPO,Pendulum-v1,0,70,-1494.753662109375
PPO,Pendulum-v1,0,71,-1069.50341796875
PPO,Pendulum-v1,0,72,-841.5447998046875
PPO,Pendulum-v1,0,73,-1337.166259765625
PPO,Pendulum-v1,0,74,-1039.901611328125
PPO,Pendulum-v1,0,75,-1088.1915283203125
PPO,Pendulum-v1,0,76,-1182.244873046875
PPO,Pendulum-v1,0,77,-902.021240234375
PPO,Pendulum-v1,0,78,-911.1554565429688
PPO,Pendulum-v1,0,79,-896.5123901367188
PPO,Pendulum-v1,0,80,-906.8271484375
PPO,Pendulum-v1,0,81,-892.9186401367188
PPO,Pendulum-v1,0,82,-866.13134765625
PPO,Pendulum-v1,0,83,-913.7362060546875
PPO,Pendulum-v1,0,84,-890.8135986328125
PPO,Pendulum-v1,0,85,-1036.83984375
PPO,Pendulum-v1,0,86,-1737.7601318359375
PPO,Pendulum-v1,0,87,-774.4874267578125
PPO,Pendulum-v1,0,88,-1658.8038330078125
PPO,Pendulum-v1,0,89,-1320.8504638671875
PPO,Pendulum-v1,0,90,-993.1423950195312
PPO,Pendulum-v1,0,91,-866.9608764648438
PPO,Pendulum-v1,0,92,-848.1304931640625
PPO,Pendulum-v1,0,93,-939.2559204101562
PPO,Pendulum-v1,0,94,-767.244140625
PPO,Pendulum-v1,0,95,-1068.8968505859375
PPO,Pendulum-v1,0,96,-968.7369384765625
PPO,Pendulum-v1,0,97,-872.794921875
PPO,Pendulum-v1,0,98,-976.5044555664062
PPO,Pendulum-v1,0,99,-1769.905029296875
PPO,Pendulum-v1,0,100,-1045.76416015625
PPO,Pendulum-v1,0,101,-1064.6395263671875
PPO,Pendulum-v1,0,102,-954.8935546875
PPO,Pendulum-v1,0,103,-1203.349365234375
PPO,Pendulum-v1,0,104,-990.1155395507812
PPO,Pendulum-v1,0,105,-1506.33349609375
PPO,Pendulum-v1,0,106,-1579.9765625
PPO,Pendulum-v1,0,107,-1486.5015869140625
PPO,Pendulum-v1,0,108,-1638.9769287109375
PPO,Pendulum-v1,0,109,-858.8504638671875
PPO,Pendulum-v1,0,110,-964.6589965820312
PPO,Pendulum-v1,0,111,-1703.93994140625
PPO,Pendulum-v1,0,112,-1171.1988525390625
PPO,Pendulum-v1,0,113,-1451.95751953125
PPO,Pendulum-v1,0,114,-1058.199951171875
PPO,Pendulum-v1,0,115,-1002.625244140625
PPO,Pendulum-v1,0,116,-1195.05419921875
PPO,Pendulum-v1,0,117,-1083.4052734375
PPO,Pendulum-v1,0,118,-1020.2401123046875
PPO,Pendulum-v1,0,119,-1573.8701171875
PPO,Pendulum-v1,0,120,-1544.2403564453125
PPO,Pendulum-v1,0,121,-1070.5509033203125
PPO,Pendulum-v1,0,122,-914.713623046875
PPO,Pendulum-v1,0,123,-1226.00244140625
PPO,Pendulum-v1,0,124,-1145.9698486328125
PPO,Pendulum-v1,0,125,-1109.6253662109375
PPO,Pendulum-v1,0,126,-1199.1038818359375
PPO,Pendulum-v1,0,127,-1131.7406005859375
PPO,Pendulum-v1,0,128,-1034.6502685546875
PPO,Pendulum-v1,0,129,-1009.2308959960938
PPO,Pendulum-v1,0,130,-900.8458862304688
PPO,Pendulum-v1,0,131,-1095.3465576171875
PPO,Pendulum-v1,0,132,-1022.0745849609375
PPO,Pendulum-v1,0,133,-905.1725463867188
PPO,Pendulum-v1,0,134,-1052.6181640625
PPO,Pendulum-v1,0,135,-797.2138671875
PPO,Pendulum-v1,0,136,-1576.8712158203125
PPO,Pendulum-v1,0,137,-1005.1504516601562
PPO,Pendulum-v1,0,138,-1477.7882080078125
PPO,Pendulum-v1,0,139,-1339.63916015625
PPO,Pendulum-v1,0,140,-1035.721435546875
PPO,Pendulum-v1,0,141,-920.8937377929688
PPO,Pendulum-v1,0,142,-906.7169799804688
PPO,Pendulum-v1,0,143,-1133.491943359375
PPO,Pendulum-v1,0,144,-1013.96044921875
PPO,Pendulum-v1,0,145,-1005.9093627929688
PPO,Pendulum-v1,0,146,-1048.0582275390625
PPO,Pendulum-v1,0,147,-1036.8892822265625
PPO,Pendulum-v1,0,148,-1016.4735107421875
PPO,Pendulum-v1,0,149,-1444.7327880859375
PPO,Pendulum-v1,0,150,-999.6746826171875
PPO,Pendulum-v1,0,151,-1072.4991455078125
PPO,Pendulum-v1,0,152,-916.6626586914062
PPO,Pendulum-v1,0,153,-1097.8514404296875
PPO,Pendulum-v1,0,154,-1084.333740234375
PPO,Pendulum-v1,0,155,-1544.5072021484375
PPO,Pendulum-v1,0,156,-1247.2265625
PPO,Pendulum-v1,0,157,-1549.8953857421875
PPO,Pendulum-v1,0,158,-1458.5235595703125
PPO,Pendulum-v1,0,159,-1042.4735107421875
PPO,Pendulum-v1,0,160,-934.7701416015625
PPO,Pendulum-v1,0,161,-1300.5010986328125
PPO,Pendulum-v1,0,162,-1141.6060791015625
PPO,Pendulum-v1,0,163,-1389.5347900390625
PPO,Pendulum-v1,0,164,-1072.1929931640625
PPO,Pendulum-v1,0,165,-1171.7457275390625
PPO,Pendulum-v1,0,166,-1010.569580078125
PPO,Pendulum-v1,0,167,-951.7830200195312
PPO,Pendulum-v1,0,168,-1034.7645263671875
PPO,Pendulum-v1,0,169,-1485.631591796875
PPO,Pendulum-v1,0,170,-1596.4005126953125
PPO,Pendulum-v1,0,171,-1179.6834716796875
PPO,Pendulum-v1,0,172,-906.112548828125
PPO,Pendulum-v1,0,173,-1342.9002685546875
PPO,Pendulum-v1,0,174,-929.3744506835938
PPO,Pendulum-v1,0,175,-1191.7879638671875
PPO,Pendulum-v1,0,176,-1184.043701171875
PPO,Pendulum-v1,0,177,-1045.05419921875
PPO,Pendulum-v1,0,178,-1012.1785888671875
PPO,Pendulum-v1,0,179,-926.3681030273438
PPO,Pendulum-v1,0,180,-912.7012329101562
PPO,Pendulum-v1,0,181,-1150.7987060546875
PPO,Pendulum-v1,0,182,-1066.2100830078125
PPO,Pendulum-v1,0,183,-1059.946533203125
PPO,Pendulum-v1,0,184,-1107.86181640625
PPO,Pendulum-v1,0,185,-1026.8931884765625
PPO,Pendulum-v1,0,186,-1585.7064208984375
PPO,Pendulum-v1,0,187,-1071.4359130859375
PPO,Pendulum-v1,0,188,-1574.5947265625
PPO,Pendulum-v1,0,189,-1134.365966796875
PPO,Pendulum-v1,0,190,-1049.4749755859375
PPO,Pendulum-v1,0,191,-1208.163818359375
PPO,Pendulum-v1,0,192,-1072.62060546875
PPO,Pendulum-v1,0,193,-1217.6953125
PPO,Pendulum-v1,0,194,-1076.2130126953125
PPO,Pendulum-v1,0,195,-1142.5506591796875
PPO,Pendulum-v1,0,196,-950.9630737304688
PPO,Pendulum-v1,0,197,-1188.2608642578125
PPO,Pendulum-v1,0,198,-1025.846923828125
PPO,Pendulum-v1,0,199,-1384.1929931640625
PPO,Pendulum-v1,0,200,-1218.645263671875
PPO,Pendulum-v1,0,201,-1071.1104736328125
PPO,Pendulum-v1,0,202,-917.4691162109375
PPO,Pendulum-v1,0,203,-1188.4022216796875
PPO,Pendulum-v1,0,204,-1128.9874267578125
PPO,Pendulum-v1,0,205,-1482.8421630859375
PPO,Pendulum-v1,0,206,-1154.19921875
PPO,Pendulum-v1,0,207,-1216.885498046875
PPO,Pendulum-v1,0,208,-1691.5631103515625
