episode,step,episode_return,elapsed_s
1,999,-33.52377062220096,0.011806249618530273
2,1998,-32.33001931982327,2.8115053176879883
3,2997,-34.445109972502934,5.690241098403931
4,3996,-34.106592411343605,8.592060327529907
5,4995,-32.48247813779098,11.462956190109253
6,5994,-33.74370078041806,14.372120141983032
7,6993,-33.799926265622176,17.321885347366333
8,7992,-33.494346266497686,20.193820238113403
9,8991,-32.96103770022489,23.031480073928833
10,9990,-34.57143114881054,25.91772699356079
11,10989,-30.791068846520304,29.002384185791016
12,11988,-30.997794745037833,31.938663244247437
13,12987,-29.411952785308795,34.882073163986206
14,13986,-30.15873021843095,37.87601828575134
15,14985,-30.874767671205397,40.82816219329834
16,15984,-30.783378308913143,43.77193021774292
17,16983,-29.933058566313612,46.717419147491455
18,17982,-29.68445034486594,49.72723412513733
19,18981,-30.77655865890701,52.635903120040894
20,19980,-31.343191684215945,55.57258915901184
21,20979,-32.21102742656794,58.54867219924927
22,21978,-30.34228899028193,61.493242263793945
23,22977,-30.088049828678244,64.42242527008057
24,23976,-29.32986579768817,67.41055512428284
25,24975,-30.284591062907168,70.38992929458618
26,25974,-29.76134508499641,73.40589904785156
27,26973,-30.473020456712298,76.48387312889099
28,27972,-31.736957339037943,79.61442303657532
29,28971,-30.984756731212165,82.70974326133728
30,29970,-30.79242812679791,85.88922333717346
31,30969,-30.53914277745218,89.10264921188354
32,31968,-29.84028757038482,92.26884818077087
33,32967,-29.56490561199817,95.39448022842407
34,33966,-30.61140973499702,98.64311027526855
35,34965,-31.032581870836555,101.85782241821289
36,35964,-29.760385702696983,104.9934310913086
37,36963,-30.357609291421635,108.2472231388092
38,37962,-30.293506803155,111.51507210731506
39,38961,-29.45281206310856,114.70653009414673
40,39960,-28.739046983962897,117.96748328208923
41,40959,-30.8798647868512,121.27235317230225
42,41958,-30.307985263423372,124.49328827857971
43,42957,-30.629234800160233,127.77818322181702
44,43956,-30.527684282417145,131.10918521881104
45,44955,-31.32247663864857,134.34653210639954
46,45954,-30.140207049894837,137.6436791419983
47,46953,-29.78733570471978,140.99947214126587
48,47952,-31.419561178771872,144.2552351951599
49,48951,-30.57348223020366,147.5255570411682
50,49950,-29.572889741774215,150.90911102294922
51,50949,-30.865510953247128,154.17140316963196
52,51948,-30.983032352076897,157.44205331802368
53,52947,-29.481662630509323,160.85952615737915
54,53946,-30.752567483145338,164.14619421958923
55,54945,-29.78185830237776,167.42215132713318
56,55944,-31.148635706917652,170.807373046875
57,56943,-29.84848807116907,174.09443616867065
58,57942,-28.493588054613976,177.36333012580872
59,58941,-29.558585296250477,180.74168610572815
60,59940,-30.310903410352562,184.05001425743103
61,60939,-29.445666056629353,187.33280110359192
62,61938,-30.745507980758404,190.7361671924591
63,62937,-30.78278312097672,194.0649652481079
64,63936,-31.592106878754894,197.397221326828
65,64935,-30.441196072221942,200.84671831130981
66,65934,-30.36844032237031,204.38481211662292
67,66933,-29.451264649862594,207.86905908584595
68,67932,-30.039941942907067,211.1107692718506
69,68931,-30.565830543031364,214.3375701904297
70,69930,-30.5012088391462,217.57331609725952
71,70929,-29.916547104372782,221.60481119155884
72,71928,-29.805191748373293,225.05671620368958
73,72927,-29.69855413905092,228.4455223083496
74,73926,-30.27286707005318,231.91955041885376
75,74925,-29.221793380814013,235.19502902030945
76,75924,-30.37280550408479,239.34163117408752
77,76923,-28.99648459310771,242.9368131160736
78,77922,-29.648197217339728,246.43405628204346
79,78921,-30.372837024017628,249.74924421310425
80,79920,-30.961234464085344,253.63398814201355
81,80919,-30.167733593768485,257.16561937332153
82,81918,-29.197638510363674,260.6911942958832
83,82917,-31.046770313833974,264.19331097602844
84,83916,-30.319381928467415,267.651070356369
