episode,step,episode_return,elapsed_s
1,200,-876.4881863109417,0.0036420822143554688
2,400,-1450.271577887391,0.006975889205932617
3,600,-1046.7649253617572,0.010291814804077148
4,800,-1196.8423191707593,0.013606071472167969
5,1000,-766.2595676257899,0.01690387725830078
6,1200,-964.9665039475076,0.33475589752197266
7,1400,-963.5690117328639,0.585158109664917
8,1600,-1274.910163309914,0.8394029140472412
9,1800,-1445.5343021540552,1.0908300876617432
10,2000,-1317.9235457439318,1.3634700775146484
11,2200,-1105.7343044964246,1.6641998291015625
12,2400,-870.6696539701863,1.9206290245056152
13,2600,-1821.6956488438937,2.173346996307373
14,2800,-757.9281880526814,2.4298949241638184
15,3000,-1587.3058550316257,2.679933786392212
16,3200,-744.9514963928857,2.987644910812378
17,3400,-884.5847971820197,3.240462064743042
18,3600,-1071.1923467386023,3.5226669311523438
19,3800,-1686.8714466644547,3.7763328552246094
20,4000,-721.2969176193229,4.031921863555908
21,4200,-959.751575834864,4.336499929428101
22,4400,-910.0617343296947,4.5930328369140625
23,4600,-1667.0390710109216,4.858784914016724
24,4800,-892.1815602812521,5.119211912155151
25,5000,-1391.5883558219148,5.388276815414429
26,5200,-1138.24103505524,5.702071905136108
27,5400,-1443.4533491761904,5.9636547565460205
28,5600,-1161.994221749272,6.231836795806885
29,5800,-1490.1194778990614,6.507497787475586
30,6000,-1354.8990277535534,6.777564764022827
31,6200,-1102.4059024746289,7.090281963348389
32,6400,-945.6993237242757,7.352402925491333
33,6600,-1550.6899627452992,7.615119934082031
34,6800,-1383.0929717433073,7.879955768585205
35,7000,-1395.2644767525808,8.146245956420898
36,7200,-1362.158860863971,8.461611986160278
37,7400,-1424.5712270280978,8.725740909576416
38,7600,-876.8422719934077,8.999018907546997
39,7800,-1070.5401192874342,9.263345003128052
40,8000,-1445.153963632214,9.531161069869995
41,8200,-906.6512322499319,9.850151777267456
42,8400,-1165.8825591615064,10.118602991104126
43,8600,-1098.260432449647,10.389681816101074
44,8800,-1650.8109623884664,10.654520034790039
45,9000,-969.7425926345799,10.92106294631958
46,9200,-1051.498900936419,11.234728813171387
47,9400,-850.101387326232,11.560636758804321
48,9600,-1410.8955734701724,11.835181951522827
49,9800,-1544.2612301884212,12.108296871185303
50,10000,-1049.889787022728,12.38346004486084
51,10200,-123.09904215130504,12.70567798614502
52,10400,-237.5817791805418,12.981547832489014
53,10600,-120.51238865393418,13.251617908477783
54,10800,-1.3166519883993342,13.524047136306763
55,11000,-344.0373396940955,13.795525074005127
56,11200,-116.59664143820024,14.114176988601685
57,11400,-120.17581321834118,14.389472007751465
58,11600,-122.15373216730829,14.666301965713501
59,11800,-123.15132696885387,14.942655801773071
60,12000,-122.99391461957072,15.21711778640747
61,12200,-124.47378710344705,15.541836977005005
62,12400,-119.09054118785807,15.816383838653564
63,12600,-2.9993222599136002,16.094372034072876
64,12800,-228.52858133159393,16.37433099746704
65,13000,-119.20329644238993,16.66376805305481
66,13200,-121.36276602792823,16.98855996131897
67,13400,-361.8251438505949,17.26408076286316
68,13600,-115.60909732070382,17.53740692138672
69,13800,-124.54717051007786,17.81200408935547
70,14000,-120.71215396593743,18.089294910430908
71,14200,-235.4061327527075,18.409958839416504
72,14400,-116.05631447723289,18.685678958892822
73,14600,-1.340306499048106,18.966701984405518
74,14800,-123.38018622232339,19.24965500831604
75,15000,-1.598749591299941,19.527349948883057
76,15200,-350.87891089089925,19.850172758102417
77,15400,-121.22963071469022,20.124133110046387
78,15600,-241.60484024574387,20.39847493171692
79,15800,-117.58101993015617,20.676097869873047
80,16000,-122.97830390425622,20.95495080947876
81,16200,-127.93365691161792,21.276370763778687
82,16400,-123.74544488845088,21.54963183403015
