episode,step,episode_return,elapsed_s
1,200,-966.4013767135265,0.0037572383880615234
2,400,-1252.3706989502084,0.007177114486694336
3,600,-1069.8186737641188,0.010530233383178711
4,800,-1299.3925470671277,0.013892173767089844
5,1000,-1068.6494534043547,0.017464160919189453
6,1200,-1003.7940793624156,0.635991096496582
7,1400,-793.7914265274284,1.14310622215271
8,1600,-1169.5319910784092,1.6340129375457764
9,1800,-1781.6542931465267,2.1249051094055176
10,2000,-1077.9185578025997,2.62831711769104
11,2200,-975.5065937907146,3.162442207336426
12,2400,-1425.8022095035035,3.659311056137085
13,2600,-852.7890527756554,4.171365022659302
14,2800,-917.0562119291526,4.672518014907837
15,3000,-1275.1065658682307,5.183300971984863
16,3200,-1088.3134217349225,5.7269651889801025
17,3400,-1075.0266148260905,6.228196859359741
18,3600,-877.3608439831752,6.720344066619873
19,3800,-867.2887258110745,7.234326124191284
20,4000,-1357.0748464765338,7.7455761432647705
21,4200,-1544.5641949495928,8.286102056503296
22,4400,-1504.0733359207447,8.793142080307007
23,4600,-898.4400022067896,9.301406145095825
24,4800,-886.7157354680523,9.812757015228271
25,5000,-1326.6208327965744,10.319817066192627
26,5200,-973.933470222129,10.864022016525269
27,5400,-1613.1578359875195,11.403948068618774
28,5600,-969.897123659832,11.90548300743103
29,5800,-998.79391670818,12.404083013534546
30,6000,-868.9602232708686,12.907145977020264
31,6200,-1299.5129048614895,13.457337141036987
32,6400,-868.8851343747441,13.966963052749634
33,6600,-1816.9305787387075,14.470524072647095
34,6800,-1395.5802402516078,14.97678017616272
35,7000,-896.3515245250718,15.470546960830688
36,7200,-777.4268898950044,16.032565116882324
37,7400,-1069.2657315396043,16.53585410118103
38,7600,-967.975749708905,17.03070592880249
39,7800,-1826.7280357865554,17.527021169662476
40,8000,-961.1315130418827,18.02215886116028
41,8200,-1829.428089464524,18.56644105911255
42,8400,-1718.6793135845305,19.072985887527466
43,8600,-1560.150767753702,19.572022199630737
44,8800,-1572.2916829859134,20.10400915145874
45,9000,-1429.2812687759538,20.609005212783813
46,9200,-1661.9742479381334,21.155184030532837
47,9400,-970.0301420427852,21.67348623275757
48,9600,-874.0955887586398,22.19370722770691
49,9800,-760.3556048602169,22.69973611831665
50,10000,-1375.3950646415951,23.209546089172363
51,10200,-128.30556368739013,23.765806198120117
52,10400,-125.67291494806238,24.28823709487915
53,10600,-223.38508722540624,24.80218815803528
54,10800,-229.04472910308237,25.335665941238403
55,11000,-126.64122735479073,25.853929042816162
56,11200,-225.64748623407644,26.408390045166016
57,11400,-1.7931870287115212,26.92478609085083
58,11600,-225.19235992673092,27.443849086761475
59,11800,-122.95616679275268,27.958832025527954
60,12000,-358.584950105404,28.47137999534607
